Trainer,Placement,wins,losses,ties,easiest_opponent,toughest_opponent,win_loss_ratio,AbilityScore,Tier,Elo
Falkner,32,3725,3475,0,['Chuck'],['Cheren'],1.0719424460431657,1.712328767126106,B,1521
Burgh,33,3669,3531,0,['Wake'],['Shauntal'],1.039082412914189,0.9452054794548408,B,1511
Marlon,34,3580,3620,0,['Marshal'],['Cheren'],0.988950276243094,-0.2739726027370692,B,1497
Candice,35,3569,3631,0,['Clair'],['Misty'],0.9829248141007988,-0.4246575342437344,B,1495
Lt.Surge,36,3539,3661,0,['Maylene'],['Bugsy'],0.966675771647091,-0.8356164383533486,B,1490
Flannery,37,3415,3785,0,['Brycen'],['Giovanni'],0.9022457067371202,-2.5342465753395427,B,1470
Pryce,38,3415,3785,0,['Winona'],['Shauntal'],0.9022457067371202,-2.5342465753396857,B,1470
Whitney,39,3411,3789,0,['Liza'],['Giovanni'],0.9002375296912114,-2.5890410958875014,B,1469
Gardenia,40,3403,3797,0,['Caitlin'],['Benga'],0.896233868843824,-2.6986301369833683,B,1468
Erika,41,3402,3798,0,['Wake'],['Shauntal'],0.8957345971563981,-2.712328767120529,B,1467
Drayden,42,3388,3812,0,['Caitlin'],['Misty'],0.8887722980062959,-2.9041095890382658,B,1465
Blaine,43,3357,3843,0,['Brycen'],['Sabrina'],0.8735362997658079,-3.328767123284827,B,1460
Bugsy,44,3329,3871,0,['Liza'],['Lance'],0.8599845001291656,-3.712328767120318,B,1455
Juan,45,3290,3910,0,['Brycen'],['Alder'],0.8414322250639387,-4.246575342462781,B,1449
Bianca,46,3274,3926,0,['Tate'],['Shauntal'],0.8339276617422313,-4.465753424654732,B,1446
Clair,47,3261,3939,0,['Chili'],['Candice'],0.8278750952018279,-4.643835616435604,B,1444
Chuck,48,3223,3977,0,['Whitney'],['Skyla'],0.8104098566758864,-5.164383561640861,B,1438
Cheren_Fire,49,3209,3991,0,['N_Summer'],['Shauntal'],0.804059133049361,-5.356164383558781,B,1436
Hugh_Grass,50,3197,4003,0,['N_Summer'],['Misty'],0.7986510117411941,-5.520547945202603,B,1434
Lenora,51,3188,4012,0,['Winona'],['Elesa'],0.7946161515453639,-5.643835616435627,B,1432
N_Winter,52,3134,4066,0,['Clair'],['Nishino'],0.7707820954254796,-6.38356164383285,B,1423
Fantina,53,3089,4111,0,['Maylene'],['Grimsley'],0.7513986864509852,-6.999999999997236,B,1416
Brock,54,3011,4189,0,['Volkner'],['Marshal'],0.7187873000716162,-8.068493150682166,B,1403
Maylene,55,2935,4265,0,['Whitney'],['Elesa'],0.6881594372801876,-9.109589041093066,B,1391
Wake,56,2917,4283,0,['Roark'],['Shauntal'],0.6810646742937193,-9.35616438355891,B,1388
Cheren_Water,57,2714,4486,0,['Tate'],['Shauntal'],0.6049933125278645,-12.136986301367044,C,1354
Winona,58,2438,4762,0,['Chili'],['Morty'],0.5119697606047879,-15.917808219175368,C,1309
Cheren_Grass,59,2436,4764,0,['Bugsy'],['Jasmine'],0.5113350125944585,-15.945205479449326,C,1309
Steven,60,2396,4804,0,['N_Spring'],['Morty'],0.4987510407993339,-16.49315068492877,C,1302
Brycen,61,2357,4843,0,['Fantina'],['Alder'],0.4866818087962007,-17.02739726027116,C,1296
Volkner,62,2327,4873,0,['Maylene'],['Shauntal'],0.4775292427662631,-17.43835616438076,C,1291
Liza,63,2318,4882,0,['Marshal'],['Hugh_Fire'],0.4748054076198279,-17.561643835613683,C,1289
Caitlin,64,2285,4915,0,['Chuck'],['Fantina'],0.4649033570701933,-18.013698630134186,C,1284
Cilan,65,2259,4941,0,['Roark'],['Elesa'],0.4571948998178506,-18.369863013695795,C,1280
Roxanne,66,2143,5057,0,['Wallace'],['Gardenia'],0.4237690330235317,-19.95890410958634,C,1260
Tate,67,2010,5190,0,['Chuck'],['N_Autumn'],0.3872832369942196,-21.78082191780534,C,1239
Chili,68,1994,5206,0,['Brycen'],['Lance'],0.3830195927775643,-21.999999999997208,C,1236
Byron,69,1988,5212,0,['Brycen'],['Clay'],0.3814274750575595,-22.08219178081902,C,1235
N_Summer,70,1848,5352,0,['Caitlin'],['Clair'],0.3452914798206278,-23.99999999999715,C,1212
Colress,71,1761,5439,0,['Chili'],['Lance'],0.3237727523441809,-25.191780821915028,C,1198
Roark,72,1498,5702,0,['Chili'],['Lance'],0.2627148368993335,-28.794520547942334,C,1154
Morimoto,73,1468,5732,0,['Tate'],['Elesa'],0.256106071179344,-29.20547945205193,C,1150
